SYSTEM_ID,DOCNUMBER,ACL_ID,ACL_NAME
2512651,593497,1,DM SUPERVISORS
2512651,593497,2193501,AOTNA-Gruppo Protocollatori TERNA
2512651,593497,2193509,AOTNA-GOL MONTECORVINO
2512651,593497,2193514,AOTNA-UNITA' PROGETTAZIONE E REALIZZAZIONE IMPIANTI
2511625,593463,1,DM SUPERVISORS
2511625,593463,2193501,AOTNA-Gruppo Protocollatori TERNA
2511625,593463,2193514,AOTNA-UNITA' PROGETTAZIONE E REALIZZAZIONE IMPIANTI
2511138,593447,1,DM SUPERVISORS
2511138,593447,2193494,AOTNA-UNITA' SUPPORTO TECNICO GESTIONALE
2511138,593447,2193501,AOTNA-Gruppo Protocollatori TERNA
2511138,593447,2193502,AOTNA-TEAM GESTIONALE
2511196,593449,1,DM SUPERVISORS
2511196,593449,2193494,AOTNA-UNITA' SUPPORTO TECNICO GESTIONALE
2511196,593449,2193501,AOTNA-Gruppo Protocollatori TERNA
2511196,593449,2193502,AOTNA-TEAM GESTIONALE
2511345,593455,1,DM SUPERVISORS
2511345,593455,2193494,AOTNA-UNITA' SUPPORTO TECNICO GESTIONALE
2511345,593455,2193501,AOTNA-Gruppo Protocollatori TERNA
2511345,593455,2193504,AOTNA-SICUREZZA
2511345,593455,2193514,AOTNA-UNITA' PROGETTAZIONE E REALIZZAZIONE IMPIANTI
2511345,593455,2193516,AOTNA-TEAM PROGETTAZIONE E REALIZZAZIONI LINEE
2511471,593458,1,DM SUPERVISORS
2511471,593458,2193491,AOTNA-FC Segreteria Societaria e Legale
2511471,593458,2193492,AOTNA-UNITA' LINEE
2511471,593458,2193501,AOTNA-Gruppo Protocollatori TERNA
2511471,593458,2193510,AOTNA-GOL TARANTO
2510564,593432,1,DM SUPERVISORS
2510564,593432,713162,AOTRM-UPRI-LIN
2510564,593432,2193501,AOTNA-Gruppo Protocollatori TERNA
2510564,593432,2193509,AOTNA-GOL MONTECORVINO
2510564,593432,2193514,AOTNA-UNITA' PROGETTAZIONE E REALIZZAZIONE IMPIANTI
2510844,593440,1,DM SUPERVISORS
2510844,593440,2193494,AOTNA-UNITA' SUPPORTO TECNICO GESTIONALE
2510844,593440,2193501,AOTNA-Gruppo Protocollatori TERNA
2510844,593440,2193502,AOTNA-TEAM GESTIONALE
2510929,593441,1,DM SUPERVISORS
2510929,593441,2193501,AOTNA-Gruppo Protocollatori TERNA
2510929,593441,2193504,AOTNA-SICUREZZA
2510929,593441,2193505,AOTNA-GOS MADDALONI
2510929,593441,2193514,AOTNA-UNITA' PROGETTAZIONE E REALIZZAZIONE IMPIANTI
2511001,593443,1,DM SUPERVISORS
2511001,593443,2193494,AOTNA-UNITA' SUPPORTO TECNICO GESTIONALE
2511001,593443,2193501,AOTNA-Gruppo Protocollatori TERNA
2511001,593443,2193502,AOTNA-TEAM GESTIONALE
2511088,593446,1,DM SUPERVISORS
2511088,593446,2193494,AOTNA-UNITA' SUPPORTO TECNICO GESTIONALE
2511088,593446,2193501,AOTNA-Gruppo Protocollatori TERNA
2511088,593446,2193502,AOTNA-TEAM GESTIONALE
2509975,593412,1,DM SUPERVISORS
2509975,593412,2193487,AOTNA-FC Amministrazione e Controllo
2509975,593412,2193494,AOTNA-UNITA' SUPPORTO TECNICO GESTIONALE
2509975,593412,2193497,AOTNA-UNITA' STAZIONI
2509975,593412,2193501,AOTNA-Gruppo Protocollatori TERNA
2509975,593412,2193502,AOTNA-TEAM GESTIONALE
2509975,593412,2193506,AOTNA-GOS BRINDISI
2510151,593416,1,DM SUPERVISORS
2510151,593416,2193492,AOTNA-UNITA' LINEE
2510151,593416,2193501,AOTNA-Gruppo Protocollatori TERNA
2510151,593416,2193510,AOTNA-GOL TARANTO
2509287,593395,1,DM SUPERVISORS
2509287,593395,2193501,AOTNA-Gruppo Protocollatori TERNA
2509287,593395,2193505,AOTNA-GOS MADDALONI
2509287,593395,2193514,AOTNA-UNITA' PROGETTAZIONE E REALIZZAZIONE IMPIANTI
2509707,593404,1,DM SUPERVISORS
2509707,593404,2193494,AOTNA-UNITA' SUPPORTO TECNICO GESTIONALE
2509707,593404,2193501,AOTNA-Gruppo Protocollatori TERNA
2509707,593404,2193502,AOTNA-TEAM GESTIONALE
2509889,593409,1,DM SUPERVISORS
2509889,593409,2193494,AOTNA-UNITA' SUPPORTO TECNICO GESTIONALE
2509889,593409,2193501,AOTNA-Gruppo Protocollatori TERNA
2509889,593409,2193502,AOTNA-TEAM GESTIONALE
2508737,593380,1,DM SUPERVISORS
2508737,593380,2193487,AOTNA-FC Amministrazione e Controllo
2508737,593380,2193494,AOTNA-UNITA' SUPPORTO TECNICO GESTIONALE
2508737,593380,2193501,AOTNA-Gruppo Protocollatori TERNA
2508737,593380,2193503,AOTNA-TEAM TECNICO
2508499,593372,1,DM SUPERVISORS
2508499,593372,2193501,AOTNA-Gruppo Protocollatori TERNA
2508499,593372,2193514,AOTNA-UNITA' PROGETTAZIONE E REALIZZAZIONE IMPIANTI
2508499,593372,2193515,AOTNA-TEAM PROGETTAZIONE E REALIZZAZIONI STAZIONI
2508536,593374,1,DM SUPERVISORS
2508536,593374,2193492,AOTNA-UNITA' LINEE
2508536,593374,2193501,AOTNA-Gruppo Protocollatori TERNA
2508536,593374,2193509,AOTNA-GOL MONTECORVINO
2506329,593299,1,DM SUPERVISORS
2506329,593299,2193494,AOTNA-UNITA' SUPPORTO TECNICO GESTIONALE
2506329,593299,2193501,AOTNA-Gruppo Protocollatori TERNA
2506329,593299,2193502,AOTNA-TEAM GESTIONALE
2506474,593304,1,DM SUPERVISORS
2506474,593304,2193501,AOTNA-Gruppo Protocollatori TERNA
2506474,593304,2193514,AOTNA-UNITA' PROGETTAZIONE E REALIZZAZIONE IMPIANTI
2506679,593311,1,DM SUPERVISORS
2506679,593311,2193494,AOTNA-UNITA' SUPPORTO TECNICO GESTIONALE
2506679,593311,2193501,AOTNA-Gruppo Protocollatori TERNA
2506679,593311,2193502,AOTNA-TEAM GESTIONALE
2504367,593243,1,DM SUPERVISORS
2504367,593243,2193494,AOTNA-UNITA' SUPPORTO TECNICO GESTIONALE
2504367,593243,2193501,AOTNA-Gruppo Protocollatori TERNA
2504367,593243,2193502,AOTNA-TEAM GESTIONALE
2504516,593245,1,DM SUPERVISORS
